title,price,discount,extra_info_3,likes,extra_info_2,course_subject
Javascript ES6+ 제대로 알아보기 - 보너스,가격 정보 없음,할인 없음,초급,274,(2시간 26분),"프론트엔드, 프로그래밍 언어"
리액트 최신버전 공식문서 파먹기,"₩13,200",할인 없음,초급,18,(2시간 44분),"프론트엔드, React"
IT입문자를 위한 전반적인 개념 정리,가격 정보 없음,할인 없음,입문,182,(1시간 40분),"개발 · 프로그래밍, 기획 · 경영 · 마케팅"
Backend 멀티쓰레드 이해하고 통찰력 키우기,가격 정보 없음,할인 없음,초급,242,(3시간 28분),"백엔드, 개발 · 프로그래밍"
IT 활용자를 위한 MS Azure 2023 클라우드 서비스 입문과 실습,"₩110,000",할인 없음,초급,33,(8시간 1분),"데브옵스 · 인프라, 클라우드"
GameFi - 블록체인 Web3 게임 만들기,"₩99,000",할인 없음,중급이상,49,(7시간 7분),세부 주제 없음
정말 쉬운 Go 언어 중급,"₩44,000",할인 없음,초급,35,(4시간 58분),"프로그래밍 언어, Go"
[웹 개발 풀스택 코스] 포트폴리오 - 제품 판매 미니 웹 앱 개발,"₩121,000",할인 없음,초급,50,(11시간 58분),"풀스택, 웹 개발"
[웹 개발 풀스택 코스] Node.js 프로젝트 투입 일주일 전 - 기초에서 실무까지,"₩165,000",할인 없음,초급,86,(16시간 28분),"백엔드, 웹 개발"
[웹 개발 풀스택 코스] 넷플릭스와 당근마켓 분석을 통해서 배우는 데이터베이스 기초,가격 정보 없음,할인 없음,입문,265,(6시간 34분),데이터베이스
[웹 개발 풀스택 코스] 부트스트랩 기초,가격 정보 없음,할인 없음,초급,161,(4시간 52분),"프론트엔드, 웹 개발"
4시간 안에 끝내는 해외 취업 코딩테스트 실전 노하우,"₩44,000",할인 없음,초급,51,(3시간 54분),알고리즘 · 자료구조
스프링 부트 웹 개발 입문 - 따라하며 배우기,"₩88,000",할인 없음,초급,111,(17시간 39분),세부 주제 없음
R로 배우는 데이터 분석 첫 걸음 - 기초 문법부터 데이터마이닝 실습까지,"₩99,000",할인 없음,입문,23,(14시간 10분),데이터 분석
생산성을 향상시키는 스프링부트 기반의 API 템플릿 프로젝트 구현,"₩29,700",22%,초급,177,(6시간 38분),"백엔드, 웹 개발"
냉동코더의 알기 쉬운 Modern Android Development 입문,"₩77,000",할인 없음,초급,100,(7시간 27분),모바일 앱 개발
Three.js 3D 인터랙티브 바로 시작하기,"₩110,000",할인 없음,초급,369,(4시간 33분),"프론트엔드, 웹 개발"
쉽게 배우는 C# 알고리즘 프로그래밍,"₩38,500",할인 없음,초급,177,(8시간 59분),알고리즘 · 자료구조
실제 이력서 사례로 알아보는 [합격하는 이력서] 작성 가이드,"₩49,500",할인 없음,입문,"1,102",(2시간 45분),"취업 · 이직, 개발 · 프로그래밍"
파이썬 입문,"₩69,300",할인 없음,입문,68,(14시간 54분),"업무 자동화, 프로그래밍 언어"
자바스크립트 : 기초부터 실전까지 올인원,"₩81,400",할인 없음,초급,835,(10시간 58분),"웹 개발, 프론트엔드"
10주완성 C++ 코딩테스트 | 알고리즘 코딩테스트,"₩165,000",할인 없음,초급,"1,514",(27시간 41분),"알고리즘 · 자료구조, 프로그래밍 언어"
밥 먹으면서 듣는 안드로이드 개념잡기,"₩16,500",할인 없음,입문,128,(1시간 35분),"모바일 앱 개발, 개발 · 프로그래밍"
컴퓨터 과학적 사고와 프로그래밍 입문,"₩49,500",할인 없음,입문,26,(1시간 39분),세부 주제 없음
